crewtype,region,gacc_pl,national_pl,drawndown,mobile,mobile_rate,staffing
Crew 2IA,RMCC,3,2,4,0,0,4
Crew 2IA,RMCC,3,3,3,1,25,4
Crew 2IA,RMCC,3,4,4,0,0,4
Crew 2IA,RMCC,3,5,3,1,25,4
Crew 2IA,RMCC,4,1,4,0,0,4
Crew 2IA,RMCC,4,2,4,0,0,4
Crew 2IA,RMCC,4,3,4,0,0,4
Crew 2IA,RMCC,4,4,4,0,0,4
Crew 2IA,RMCC,4,5,4,0,0,4
Crew 2IA,RMCC,5,1,4,0,0,4
Crew 2IA,RMCC,5,2,4,0,0,4
Crew 2IA,RMCC,5,3,4,0,0,4
Crew 2IA,RMCC,5,4,4,0,0,4
Crew 2IA,RMCC,5,5,4,0,0,4
Crew 2IA,EACC,1,1,2,1,33,3
Crew 2IA,EACC,1,2,2,1,33,3
Crew 2IA,EACC,1,3,3,0,0,3
Crew 2IA,EACC,1,4,2,1,33,3
Crew 2IA,EACC,1,5,2,1,33,3
Crew 2IA,EACC,2,1,2,1,33,3
Crew 2IA,EACC,2,2,2,1,33,3
Crew 2IA,EACC,2,3,3,0,0,3
Crew 2IA,EACC,2,4,3,0,0,3
Crew 2IA,EACC,2,5,3,0,0,3
Crew 2IA,EACC,3,1,3,0,0,3
Crew 2IA,EACC,3,2,3,0,0,3
Crew 2IA,EACC,3,3,3,0,0,3
Crew 2IA,EACC,3,4,3,0,0,3
Crew 2IA,EACC,3,5,3,0,0,3
Crew 2IA,EACC,4,1,3,0,0,3
Crew 2IA,EACC,4,2,3,0,0,3
Crew 2IA,EACC,4,3,3,0,0,3
Crew 2IA,EACC,4,4,3,0,0,3
Crew 2IA,EACC,4,5,3,0,0,3
Crew 2IA,EACC,5,1,3,0,0,3
Crew 2IA,EACC,5,2,3,0,0,3
Crew 2IA,EACC,5,3,3,0,0,3
Crew 2IA,EACC,5,4,3,0,0,3
Crew 2IA,EACC,5,5,3,0,0,3
Crew 2IA,SACC,1,1,1,1,50,2
Crew 2IA,SACC,1,2,1,1,50,2
Crew 2IA,SACC,1,3,1,1,50,2
Crew 2IA,SACC,1,4,1,1,50,2
Crew 2IA,SACC,1,5,2,0,0,2
Crew 2IA,SACC,2,1,1,1,50,2
Crew 2IA,SACC,2,2,1,1,50,2
Crew 2IA,SACC,2,3,1,1,50,2
Crew 2IA,SACC,2,4,1,1,50,2
Crew 2IA,SACC,2,5,2,0,0,2
Crew 2IA,SACC,3,1,2,0,0,2
Crew 2IA,SACC,3,2,2,0,0,2
Crew 2IA,SACC,3,3,2,0,0,2
Crew 2IA,SACC,3,4,2,0,0,2
Crew 2IA,SACC,3,5,2,0,0,2
Crew 2IA,SACC,4,1,2,0,0,2
Crew 2IA,SACC,4,2,2,0,0,2
Crew 2IA,SACC,4,3,2,0,0,2
Crew 2IA,SACC,4,4,2,0,0,2
Crew 2IA,SACC,4,5,2,0,0,2
Crew 2IA,SACC,5,1,2,0,0,2
Crew 2IA,SACC,5,2,2,0,0,2
Crew 2IA,SACC,5,3,2,0,0,2
Crew 2IA,SACC,5,4,2,0,0,2
Crew 2IA,SACC,5,5,2,0,0,2
Crew 2,AICC,1,1,0,0,0,0
Crew 2,AICC,1,2,0,0,0,0
Crew 2,AICC,1,3,0,0,0,0
Crew 2,AICC,1,4,0,0,0,0
Crew 2,AICC,1,5,0,0,0,0
Crew 2,AICC,2,1,0,0,0,0
Crew 2,AICC,2,2,0,0,0,0
Crew 2,AICC,2,3,0,0,0,0
Crew 2,AICC,2,4,0,0,0,0
Crew 2,AICC,2,5,0,0,0,0
Crew 2,AICC,3,1,0,0,0,0
Crew 2,AICC,3,2,0,0,0,0
Crew 2,AICC,3,3,0,0,0,0
Crew 2,AICC,3,4,0,0,0,0
Crew 2,AICC,3,5,0,0,0,0
Crew 2,AICC,4,1,0,0,0,0
Crew 2,AICC,4,2,0,0,0,0
Crew 2,AICC,4,3,0,0,0,0
Crew 2,AICC,4,4,0,0,0,0
Crew 2,AICC,4,5,0,0,0,0
Crew 2,AICC,5,1,0,0,0,0
Crew 2,AICC,5,2,0,0,0,0
Crew 2,AICC,5,3,0,0,0,0
Crew 2,AICC,5,4,0,0,0,0
Crew 2,AICC,5,5,0,0,0,0
Crew 2,NWCC,1,1,1,1,50,2
Crew 2,NWCC,1,2,2,0,0,2
Crew 2,NWCC,1,3,2,0,0,2
Crew 2,NWCC,1,4,2,0,0,2
Crew 2,NWCC,1,5,1,1,50,2
Crew 2,NWCC,2,1,1,1,50,2
Crew 2,NWCC,2,2,1,1,50,2
Crew 2,NWCC,2,3,1,1,50,2
Crew 2,NWCC,2,4,1,1,50,2
Crew 2,NWCC,2,5,1,1,50,2
Crew 2,NWCC,3,1,2,0,0,2
Crew 2,NWCC,3,2,2,0,0,2
Crew 2,NWCC,3,3,2,0,0,2
Crew 2,NWCC,3,4,2,0,0,2
Crew 2,NWCC,3,5,2,0,0,2
Crew 2,NWCC,4,1,2,0,0,2
Crew 2,NWCC,4,2,2,0,0,2
Crew 2,NWCC,4,3,2,0,0,2
Crew 2,NWCC,4,4,2,0,0,2
Crew 2,NWCC,4,5,2,0,0,2
Crew 2,NWCC,5,1,2,0,0,2
Crew 2,NWCC,5,2,2,0,0,2
Crew 2,NWCC,5,3,2,0,0,2
Crew 2,NWCC,5,4,2,0,0,2
Crew 2,NWCC,5,5,2,0,0,2
Crew 2,ONCC,1,1,2,1,33,3
Crew 2,ONCC,1,2,3,0,0,3
Crew 2,ONCC,1,3,2,1,33,3
Crew 2,ONCC,1,4,2,1,33,3
Crew 2,ONCC,1,5,2,1,33,3
Crew 2,ONCC,2,1,2,1,33,3
Crew 2,ONCC,2,2,3,0,0,3
Crew 2,ONCC,2,3,2,1,33,3
Crew 2,ONCC,2,4,3,0,0,3
Crew 2,ONCC,2,5,3,0,0,3
Crew 2,ONCC,3,1,3,0,0,3
Crew 2,ONCC,3,2,3,0,0,3
Crew 2,ONCC,3,3,3,0,0,3
Crew 2,ONCC,3,4,3,0,0,3
Crew 2,ONCC,3,5,3,0,0,3
Crew 2,ONCC,4,1,3,0,0,3
Crew 2,ONCC,4,2,3,0,0,3
Crew 2,ONCC,4,3,3,0,0,3
Crew 2,ONCC,4,4,3,0,0,3
Crew 2,ONCC,4,5,3,0,0,3
Crew 2,ONCC,5,1,3,0,0,3
Crew 2,ONCC,5,2,3,0,0,3
